,english_words,roman_sindhi_words,Senti_Score,Subjectivity,Sentiment
260,humble,nehtho,-0.2,0.4,Negative
261,humble,nimano,-0.2,0.4,Negative
262,ill,beemar,-0.5,1.0,Negative
263,ill,bemar,-0.5,1.0,Negative
264,increase,vadharo,0.0,0.0,Do Not Know
265,increase,waadh,0.0,0.0,Do Not Know
266,increase,wadhao,0.0,0.0,Do Not Know
267,increase,wadharo,0.0,0.0,Do Not Know
268,informative,maloomatee,0.0,0.0,Do Not Know
269,informative,maloomati,0.0,0.0,Do Not Know
270,intelligent,zaheen,0.8,0.9,Positive
271,intelligent,zahin,0.8,0.9,Positive
272,interested,dilchasp,0.25,0.5,Positive
273,keen,shaeq,0.0,0.0,Do Not Know
274,keen,shokeen,0.0,0.0,Do Not Know
275,kind,mehrbaan,0.6,0.9,Positive
276,kind,mehrban,0.6,0.9,Positive
277,kind,mushfiq,0.6,0.9,Positive
278,kind,nrm,0.6,0.9,Positive
279,kind,rahmdil,0.6,0.9,Positive
280,kind,shafeeq,0.6,0.9,Positive
281,leader,agwaan,0.0,0.0,Do Not Know
282,leader,agwan,0.0,0.0,Do Not Know
283,leadership,agwani,0.0,0.0,Do Not Know
284,least,sabh kha ghat,-0.3,0.4,Negative
285,less,ghat,-0.167,0.067,Negative
286,less,thoro,-0.167,0.067,Negative
287,lesser,wdheek ghat,0.0,0.5,Do Not Know
288,liberal,chhurwaag,0.0,0.0,Do Not Know
289,liberal,churwaag,0.0,0.0,Do Not Know
290,libral,azad khyal,0.0,0.0,Do Not Know
291,libral,chhurwagee,0.0,0.0,Do Not Know
292,libral,chhurwagi,0.0,0.0,Do Not Know
293,lost,gumm,0.0,0.0,Do Not Know
294,lost,winjayal,0.0,0.0,Do Not Know
295,moral,ikhlak,0.0,0.25,Do Not Know
296,moral,ikhlakee,0.0,0.25,Do Not Know
297,moral,ikhlaq,0.0,0.25,Do Not Know
298,more,ghana,0.5,0.5,Positive
299,more,ghane,0.5,0.5,Positive
300,more,ghaney,0.5,0.5,Positive
301,more,ghano,0.5,0.5,Positive
302,more,ghne,0.5,0.5,Positive
303,more,ghney,0.5,0.5,Positive
304,much,wadheek,0.2,0.2,Positive
305,much,zyada,0.2,0.2,Positive
306,near,qareeb,0.1,0.4,Positive
307,near,qarib,0.1,0.4,Positive
308,near,qreeb,0.1,0.4,Positive
309,near,qreeb,0.1,0.4,Positive
310,near,wejho,0.1,0.4,Positive
311,negative,inkari,-0.3,0.4,Negative
312,negative,na-kari,-0.3,0.4,Negative
313,new,nao,0.136,0.455,Positive
314,nice,pyaaro,0.6,1.0,Positive
315,nice,pyaree,0.6,1.0,Positive
316,nice,pyari,0.6,1.0,Positive
317,nice,pyaro,0.6,1.0,Positive
318,nice,suthee,0.6,1.0,Positive
319,not,na aahe,0.0,0.0,Do Not Know
320,not,na aahey,0.0,0.0,Do Not Know
321,not,na ahe,0.0,0.0,Do Not Know
322,not,nahe,0.0,0.0,Do Not Know
323,not,nahey,0.0,0.0,Do Not Know
324,not certain,kachee,-0.107,0.571,Negative
325,not certain,kachi,-0.107,0.571,Negative
326,not certain,kchee,-0.107,0.571,Negative
327,not certain,kchi,-0.107,0.571,Negative
328,not complete,na mukamal,-0.05,0.4,Negative
329,not complete,na mukamil,-0.05,0.4,Negative
330,not filled,adh-bharyal,-0.2,0.9,Negative
331,not filled,adh-bharyal ,-0.2,0.9,Negative
332,not filled,an-bharyal,-0.2,0.9,Negative
333,not good,kharab,-0.35,0.6,Negative
334,not good,khrab,-0.35,0.6,Negative
335,not good,maatho,-0.35,0.6,Negative
336,not satisfied,ger mutmaen,-0.25,1.0,Negative
337,not true,galt,-0.175,0.65,Negative
338,not true,koor,-0.175,0.65,Negative
339,not true,korr,-0.175,0.65,Negative
340,not true,sach nahe,-0.175,0.65,Negative
341,notorious,bdnaam,0.0,0.0,Do Not Know
342,notorious,bdnam,0.0,0.0,Do Not Know
343,notorious,budnam,0.0,0.0,Do Not Know
344,notorious,khuwaar,0.0,0.0,Do Not Know
345,notorious,khuwar,0.0,0.0,Do Not Know
346,notorious,khuwari,0.0,0.0,Do Not Know
347,notorious,khwar,0.0,0.0,Do Not Know
348,notorous,badnaam,0.0,0.0,Do Not Know
349,old,porho,0.1,0.2,Positive
350,old,purano,0.1,0.2,Positive
351,old,zaeef,0.1,0.2,Positive
352,older,waddo,0.167,0.333,Positive
353,oldest,sabh kha waddo,0.0,0.0,Do Not Know
354,open minded,bedaar dimag,0.0,0.5,Do Not Know
355,open minded,kushada dil,0.0,0.5,Do Not Know
356,passionate,josh waro,-0.05,0.85,Negative
357,passionate,purjosh,-0.05,0.85,Negative
358,pessimist,mayousi pasand,0.0,0.0,Do Not Know
359,place,jae,0.0,0.0,Do Not Know
360,polite,ba ikhlaq,0.0,0.0,Do Not Know
361,polite,ba-ikhlaq,0.0,0.0,Do Not Know
362,powerful,takar waro,0.3,1.0,Positive
363,powerful,taqatwar,0.3,1.0,Positive
364,powerful,taqatwer,0.3,1.0,Positive
365,powerful,taqatwr,0.3,1.0,Positive
366,powerful,taqtwar,0.3,1.0,Positive
367,powerful,taqtwr,0.3,1.0,Positive
368,progress,tarakee,0.0,0.0,Do Not Know
369,protest,ahtejaj,0.0,0.0,Do Not Know
370,protest,ihtjaj,0.0,0.0,Do Not Know
371,punctual,wqt jo paband,0.0,0.0,Do Not Know
372,puntual,paaband,0.0,0.0,Do Not Know
373,puntual,paband,0.0,0.0,Do Not Know
374,quick,taiz,0.333,0.5,Positive
375,raise,wadhao,0.0,0.0,Do Not Know
376,rebuke,malaamat,0.0,0.0,Do Not Know
377,regular,paaband,0.0,0.077,Do Not Know
378,remarkable,saarah jogo,0.75,0.75,Positive
379,remarkable,tareef laeq,0.75,0.75,Positive
380,remarkable,yaadgaar,0.75,0.75,Positive
381,responsible,zimedar,0.2,0.55,Positive
382,responsible,zimewaar,0.2,0.55,Positive
383,right,sahe,0.286,0.536,Positive
384,right,sahee,0.286,0.536,Positive
385,right,sahi,0.286,0.536,Positive
386,right,shee,0.286,0.536,Positive
387,rude,bdtameezee,-0.3,0.6,Negative
388,rude,bdtameezi,-0.3,0.6,Negative
389,rude,bdtamizee,-0.3,0.6,Negative
390,rude,bdtamizi,-0.3,0.6,Negative
391,rude,skht dil,-0.3,0.6,Negative
392,satisfied,mutmaen,0.5,1.0,Positive
393,satisfied,mutmain,0.5,1.0,Positive
394,satisfied,prskoon,0.5,1.0,Positive
395,satisfied,pursukoon,0.5,1.0,Positive
396,satisfied,taskeen,0.5,1.0,Positive
397,satisfied,tskeen,0.5,1.0,Positive
398,shameful,khuwar,0.0,0.0,Do Not Know
399,shameful,sharam waro,0.0,0.0,Do Not Know
400,shameful,sharmnaak,0.0,0.0,Do Not Know
401,shameful,zaleel,0.0,0.0,Do Not Know
402,shameful,zillat waro,0.0,0.0,Do Not Know
403,sick,beemaar,-0.714,0.857,Negative
404,sick,beemar,-0.714,0.857,Negative
405,sincere,sacho,0.5,0.5,Positive
406,sincere,scho,0.5,0.5,Positive
407,slow,aahiste,-0.3,0.4,Negative
408,slow,dharo,-0.3,0.4,Negative
409,slow,dhro,-0.3,0.4,Negative
410,slow,sust,-0.3,0.4,Negative
411,speedy,tez raftar,0.0,0.0,Do Not Know
412,straightforward,sidho,0.375,0.375,Positive
413,strict,sakht,0.0,0.0,Do Not Know
414,strict,sakht,0.0,0.0,Do Not Know
415,strict,skht,0.0,0.0,Do Not Know
416,stupid,bewakoofee,-0.8,1.0,Negative
417,stupid,bewakoofi,-0.8,1.0,Negative
418,stupid,Bewaqoof,-0.8,1.0,Negative
419,stupid,bewaqoofi,-0.8,1.0,Negative
420,stupid,bewkoofi,-0.8,1.0,Negative
421,suitable,munasib,0.55,0.75,Positive
422,suitable,munasib,0.55,0.75,Positive
423,sweet,mitho,0.35,0.65,Positive
424,the best,behtreen,1.0,0.3,Positive
425,truthful,sachaar,0.5,0.5,Positive
426,un aware,bekhbr,0.25,0.25,Positive
427,un aware,magan,0.25,0.25,Positive
428,un aware,mast,0.25,0.25,Positive
429,un aware,mgn,0.25,0.25,Positive
430,un aware ,maggan,0.25,0.25,Positive
431,un aware ,mst,0.25,0.25,Positive
432,unfair,be insafo,-0.5,1.0,Negative
433,unfair,beinsafo,-0.5,1.0,Negative
434,unhappy,nakhush,-0.6,0.9,Negative
435,unsatisfied,ger mutmaen,0.0,0.0,Do Not Know
436,unwell,beemaar,0.0,0.0,Do Not Know
437,unwell,beemar,0.0,0.0,Do Not Know
438,use,istemaal,0.0,0.0,Do Not Know
439,use,istemal,0.0,0.0,Do Not Know
440,useful,faedemand,0.3,0.0,Positive
441,useful,faedemand,0.3,0.0,Positive
442,useful,faedo,0.3,0.0,Positive
443,useful,faedo,0.3,0.0,Positive
444,useful,faidemand,0.3,0.0,Positive
445,useful,mufeed,0.3,0.0,Positive
446,useless,bekaar,-0.5,0.2,Negative
447,useless,bekar,-0.5,0.2,Negative
448,useless,fuzol,-0.5,0.2,Negative
449,useless,fuzool,-0.5,0.2,Negative
450,useless,fzool,-0.5,0.2,Negative
451,useless,ger mufeed,-0.5,0.2,Negative
452,useless,nikamo,-0.5,0.2,Negative
453,useless,nikmo,-0.5,0.2,Negative
454,very,dadho,0.2,0.3,Positive
455,very,dadho,0.2,0.3,Positive
456,very,ziada,0.2,0.3,Positive
457,waste,dadho,-0.2,0.0,Negative
458,waste,ziyan,-0.2,0.0,Negative
459,waste,ziyan,-0.2,0.0,Negative
460,waste,zyaan,-0.2,0.0,Negative
461,waste,zyan,-0.2,0.0,Negative
462,waste,ziyaan,-0.2,0.0,Negative
463,weak,dubro,-0.375,0.625,Negative
464,weak,kamzor,-0.375,0.625,Negative
465,weak,kmzor,-0.375,0.625,Negative
466,weak,nabal,-0.375,0.625,Negative
467,weak,nbl,-0.375,0.625,Negative
468,welfare,bhalae,0.0,0.0,Do Not Know
469,welfare,bhlaee,0.0,0.0,Do Not Know
470,worse,achho,-0.4,0.6,Negative
471,worse,bdtar,-0.4,0.6,Negative
472,worse,bdtr,-0.4,0.6,Negative
473,worst,bdtreen,-1.0,1.0,Negative
474,worst,wadhek khrab,-1.0,1.0,Negative
475,wrong,galat,-0.5,0.9,Negative
476,wrong,glt,-0.5,0.9,Negative
477,wrong doings,bdkaaree,-0.5,0.9,Negative
478,wrong doings,bdkaari,-0.5,0.9,Negative
479,wrong doings,bdkaree,-0.5,0.9,Negative
480,wrong doings,bdkari,-0.5,0.9,Negative
481,wrong doings,glt karyoun,-0.5,0.9,Negative
482,wrong doings,sabh kha khrab,-0.5,0.9,Negative
483,zealous,josh waro,0.0,0.0,Do Not Know
484,zealous,pur-josh,0.0,0.0,Do Not Know
